name,value,date
C,20.24,2001_05_30
C,20.77,2001_06_30
C,20.75,2001_07_30
C,20.77,2001_08_28
C,19.75,2001_09_26
C,19.21,2001_10_28
C,20.14,2001_11_31
C,18.83,2002_00_30
C,19.89,2002_01_27
C,19.85,2002_02_29
C,19.82,2002_03_29
C,19.99,2002_04_29
C,19.57,2002_05_29
C,19.25,2002_06_31
C,18.16,2002_07_29
C,18.70,2002_08_29
C,18.73,2002_09_30
C,17.50,2002_10_29
C,17.26,2002_11_31
C,18.25,2003_00_31
C,18.54,2003_01_28
C,17.21,2003_02_31
C,18.02,2003_03_30
C,18.50,2003_04_30
C,18.52,2003_05_30
C,17.97,2003_06_31
C,17.78,2003_07_31
C,18.31,2003_08_30
C,17.00,2003_09_31
C,18.47,2003_10_30
C,18.60,2003_11_31
C,18.20,2004_00_31
C,18.93,2004_01_29
C,17.75,2004_02_31
C,17.95,2004_03_30
C,18.29,2004_04_30
C,17.14,2004_05_30
C,16.33,2004_06_31
C,17.12,2004_07_30
C,18.17,2004_08_30
C,17.99,2004_09_31
C,19.70,2004_10_30
C,20.71,2004_11_31
C,19.82,2005_00_31
C,19.47,2005_01_28
C,18.63,2005_02_31
C,18.52,2005_03_30
C,19.37,2005_04_31
C,19.85,2005_05_30
C,19.47,2005_06_31
C,19.16,2005_07_31
C,18.77,2005_08_30
C,19.63,2005_11_03
C,19.01,2006_00_04
C,18.33,2006_01_02
C,17.79,2006_02_01
C,17.69,2006_03_02
C,17.69,2006_04_01
C,18.25,2006_05_01
C,17.83,2006_06_02
C,17.43,2006_07_02
C,18.06,2006_08_02
C,17.66,2006_09_01
C,17.20,2006_10_02
C,16.62,2006_11_01
C,15.81,2007_00_02
C,16.10,2007_01_03
C,15.63,2007_02_03
C,14.94,2007_03_01
C,15.15,2007_04_05
C,15.97,2007_05_02
C,16.36,2007_06_02
C,15.70,2007_07_05
C,14.91,2007_08_02
C,14.59,2007_09_04
C,13.97,2007_10_04
C,13.17,2007_11_03
C,13.92,2008_00_03
C,14.86,2008_01_07
C,15.51,2008_05_01
C,15.95,2008_06_02
C,16.18,2008_07_03
C,15.38,2008_08_03
C,15.57,2008_09_06
C,15.28,2008_10_02
C,15.02,2008_11_03
C,15.93,2009_00_02
C,15.84,2009_01_01
C,15.86,2009_02_05
C,15.47,2009_03_07
C,16.13,2009_04_01
C,16.78,2009_05_04
C,17.32,2009_06_02
C,17.22,2009_07_01
C,16.86,2009_08_05
C,16.84,2009_09_02
C,17.32,2009_10_02
C,16.28,2009_11_02
C,16.22,2010_00_05
C,16.60,2010_01_07
C,17.28,2010_02_07
C,18.06,2010_03_05
C,18.19,2010_04_15
C,18.48,2010_06_06
C,17.87,2010_06_30
C,17.15,2010_08_11
C,17.18,2010_09_02
C,16.72,2010_10_03
C,16.08,2010_11_07
C,15.82,2011_00_02
C,14.99,2011_01_08
C,15.26,2011_02_08
C,16.16,2011_03_03
C,16.17,2011_04_02
C,16.28,2011_05_05
C,16.28,2011_05_27
C,17.28,2011_06_08
C,17.39,2011_07_03
C,18.00,2011_08_10
C,17.71,2011_09_09
C,17.32,2011_10_07
C,17.06,2011_11_04
C,16.97,2012_00_08
C,16.52,2012_01_05
C,17.09,2012_02_11
C,17.55,2012_03_08
C,17.35,2012_04_09
C,17.72,2012_05_10
C,18.33,2012_06_04
C,18.94,2012_07_10
C,19.30,2012_08_02
C,19.82,2012_09_05
C,19.22,2012_10_04
C,18.70,2012_11_02
C,17.85,2013_00_05
C,17.08,2013_01_08
C,17.14,2013_02_11
C,17.86,2013_03_07
C,18.73,2013_04_08
C,17.81,2013_05_09
C,17.63,2013_06_07
C,17.63,2013_06_12
C,15.97,2013_07_04
C,16.98,2013_08_11
C,17.25,2013_09_10
C,18.16,2013_10_09
C,17.89,2013_11_06
C,17.94,2014_00_01
C,18.33,2014_01_08
C,17.53,2014_02_03
C,17.63,2014_03_10
C,16.93,2014_04_07
C,16.19,2014_05_08
C,17.14,2014_06_06
C,16.40,2014_07_11
C,16.72,2014_08_01
C,17.66,2014_09_03
C,17.47,2014_10_08
C,17.59,2014_11_07
C,16.70,2015_00_06
C,16.49,2015_01_05
C,16.64,2015_02_07
C,15.75,2015_03_13
C,16.85,2015_04_13
C,16.79,2015_05_06
C,16.15,2015_06_12
C,14.73,2015_07_06
C,15.62,2015_08_05
C,16.19,2015_09_04
C,17.15,2015_10_07
C,16.46,2015_11_04
C,16.04,2016_00_02
C,15.59,2016_01_02
C,14.60,2016_02_03
C,13.91,2016_03_07
C,13.22,2016_04_06
C,12.38,2016_05_05
C,12.24,2016_06_04
C,11.30,2016_07_06
C,10.95,2016_08_08
C,9.84,2016_09_07
C,9.20,2016_10_05
C,8.73,2016_11_04
C,9.35,2017_00_07
C,8.44,2017_01_08
C,7.74,2017_02_07
C,6.97,2017_03_09
C,7.00,2017_04_06
C,6.85,2017_05_03
C,7.32,2017_06_07
C,6.48,2017_07_02
C,7.38,2017_08_06
C,8.37,2017_09_05
C,9.29,2017_10_12
C,10.16,2017_11_09
C,11.04,2018_00_03
C,11.86,2018_01_08
C,12.76,2018_02_07
C,13.59,2018_03_01
C,14.00,2018_04_06
C,14.94,2018_05_10
C,14.66,2018_06_07
C,14.97,2018_07_01
C,15.45,2018_08_03
C,15.38,2018_09_05
C,14.40,2018_10_08
C,14.28,2018_11_02
C,13.34,2019_00_04
C,12.42,2019_01_06
C,13.31,2019_02_02
C,14.08,2019_03_07
C,14.24,2019_04_04
C,13.30,2019_05_09
C,14.21,2019_06_06
C,15.15,2019_07_05
C,15.21,2019_08_09
C,16.18,2019_09_05
C,16.04,2019_10_03
C,16.09,2019_11_06
C,15.77,2020_00_05
C,16.77,2020_01_04
C,16.33,2020_02_04
C,16.72,2020_03_02
C,17.07,2020_04_02
C,17.19,2020_05_01
C,16.45,2020_06_04
C,16.98,2020_07_02
C,15.95,2020_08_06
C,16.95,2020_09_04
Java,26.49,2001_05_30
Java,25.03,2001_06_30
Java,24.66,2001_07_30
Java,24.82,2001_08_28
Java,25.68,2001_09_26
Java,24.37,2001_10_28
Java,24.20,2001_11_31
Java,24.06,2002_00_30
Java,24.01,2002_01_27
Java,24.41,2002_02_29
Java,25.05,2002_03_29
Java,25.19,2002_04_29
Java,24.20,2002_05_29
Java,24.53,2002_06_31
Java,22.89,2002_07_29
Java,24.48,2002_08_29
Java,24.20,2002_09_30
Java,24.12,2002_10_29
Java,24.23,2002_11_31
Java,24.79,2003_00_31
Java,24.78,2003_01_28
Java,24.60,2003_02_31
Java,24.66,2003_03_30
Java,23.11,2003_04_30
Java,22.34,2003_05_30
Java,23.21,2003_06_31
Java,22.24,2003_07_31
Java,21.90,2003_08_30
Java,23.08,2003_09_31
Java,25.01,2003_10_30
Java,23.57,2003_11_31
Java,22.56,2004_00_31
Java,23.17,2004_01_29
Java,24.24,2004_02_31
Java,18.69,2004_03_30
Java,17.54,2004_04_30
Java,17.05,2004_05_30
Java,17.00,2004_06_31
Java,15.90,2004_07_30
Java,17.05,2004_08_30
Java,14.80,2004_09_31
Java,16.33,2004_10_30
Java,17.48,2004_11_31
Java,18.34,2005_00_31
Java,18.87,2005_01_28
Java,16.98,2005_02_31
